Symbol,mm,,,inches(2),,
,Min,Typ,Max,Min,Typ,Max
A,1.400,—,1.600,,—,0.063
A1,0.050,—,0.150,0.002,—,
A2,1.350,—,1.450,0.053,—,0.057
b,0.170,—,0.270,0.007,—,0.011
C,0.090,—,0.200,0.004,—,0.008
D,23.900,—,24.100,0.941,—,0.949
E,23.900,—,24.100,0.941,—,0.949
e,—,0.500,—,—,0.020,—
HD,25.900,—,26.100,1.020,—,1.028
HE,25.900,—,26.100,1.020,—,1.028
L(3),0.450,—,0.750,0.018,—,0.030
L1,—,1.000,—,—,0.039,—
ZD,—,1.250,—,—,0.049,—
ZE,—,1.250,—,—,0.049,—
q,0 °,—,7 °,0 °,—,7 °
Tolerance,mm,,,inches,,
ccc,0.080,,,0.0031,,
