Supply segment,,,Pad,LQFP176,,,,LQFP144/100,,,
,,,,Weight 5 V,,Weight 3.3 V,,Weight 5 V,,Weight 3.3 V,
"LQFP
176","LQFP
144","LQFP
100",,"SRC(2) =
0",SRC = 1,SRC = 0,SRC = 1,SRC = 0,SRC = 1,SRC = 0,SRC = 1
5,3,—,PF[15],4%,—,4%,—,4%,—,4%,—
,,—,PF[14],4%,6%,5%,5%,4%,6%,5%,5%
,,—,PE[13],4%,—,5%,—,4%,—,5%,—
,,3,PA[7],5%,—,6%,—,5%,—,6%,—
,,,PA[8],5%,—,6%,—,5%,—,6%,—
,,,PA[9],6%,—,7%,—,6%,—,7%,—
,,,PA[10],6%,—,8%,—,6%,—,8%,—
,,,PA[11],8%,—,9%,—,8%,—,9%,—
,,,PE[12],8%,—,9%,—,8%,—,9%,—
,,—,PG[14],8%,—,9%,—,8%,—,9%,—
,,—,PG[15],8%,11%,9%,10%,8%,11%,9%,10%
,,—,PE[14],8%,—,9%,—,8%,—,9%,—
,,—,PE[15],8%,11%,9%,10%,8%,11%,9%,10%
,,—,PG[10],8%,—,9%,—,8%,—,9%,—
,,—,PG[11],7%,11%,9%,9%,7%,11%,9%,9%
,—,—,PH[11],7%,10%,9%,9%,—,—,—,—
,—,—,PH[12],7%,10%,8%,9%,—,—,—,—
,—,—,PI[5],7%,—,8%,—,—,—,—,—
,—,—,PI[4],7%,—,8%,—,—,—,—,—
,3,3,PC[3],6%,—,8%,—,6%,—,8%,—
,,,PC[2],6%,8%,7%,7%,6%,8%,7%,7%
,,,PA[5],6%,8%,7%,7%,6%,8%,7%,7%
,,,PA[6],5%,—,6%,—,5%,—,6%,—
,,,PH[10],5%,7%,6%,6%,5%,7%,6%,6%
,,,PC[1],5%,19%,5%,13%,5%,19%,5%,13%
