Symbol,,C,Parameter,Conditions(1),Value,,,Unit
,,,,,Min,Typ,Max,
"V
IH",SR,P,"Input High Level CMOS
(Schmitt Trigger)",—,"0.65V
DD",—,"V + 0.4
DD",V
"V
IL",SR,P,"Input low Level CMOS
(Schmitt Trigger)",—,0.4,—,"0.35V
DD",V
"V
HYS",CC,C,"Input hysteresis CMOS 
(Schmitt Trigger)",—,"0.1V
DD",—,—,V
"V
OL",CC,P,Output low level,"Push Pull, I = 2 mA,
OL
V = 5.0 V ± 10%, PAD3V5V = 0
DD
(recommended)",—,—,"0.1V
DD",V
,,,,"Push Pull, I = 1 mA,
OL
V = 5.0 V ± 10%, PAD3V5V =
DD
1(2)",—,—,"0.1V
DD",
,,,,"Push Pull, I = 1 mA,
OL
V = 3.3 V ± 10%, PAD3V5V = 1
DD
(recommended)",—,—,0.5,
"t
tr",CC,D,"Output transition time output
pin(3) MEDIUM configuration","C = 25 pF,
L
V = 5.0 V ± 10%, PAD3V5V = 0
DD",—,—,10,ns
,,,,"C = 50 pF,
L
V = 5.0 V ± 10%, PAD3V5V = 0
DD",—,—,20,
,,,,"C = 100 pF,
L
V = 5.0 V ± 10%, PAD3V5V = 0
DD",—,—,40,
,,,,"C = 25 pF,
L
V = 3.3 V ± 10%, PAD3V5V = 1
DD",—,—,12,
,,,,"C = 50 pF,
L
V = 3.3 V ± 10%, PAD3V5V = 1
DD",—,—,25,
,,,,"C = 100 pF,
L
V = 3.3 V ± 10%, PAD3V5V = 1
DD",—,—,40,
"W
FRST",SR,P,RESET input filtered pulse,—,—,—,40,ns
"W
NFRST",SR,P,RESET input not filtered pulse,—,1000,—,—,ns
"|I |
WPU",CC,P,"Weak pull-up current absolute
value","V = 3.3 V ± 10%, PAD3V5V = 1
DD",10,—,150,µA
,,D,,"V = 5.0 V ± 10%, PAD3V5V = 0
DD",10,—,150,
,,P,,"V = 5.0 V ± 10%, PAD3V5V =
DD
1(4)",10,—,250,
