WARNING: Final field name in class ghidra.util.charset.CharsetInfo has been mutated reflectively by class com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$2 in unnamed module @28b46423 (file:/opt/ghidra/Ghidra/Framework/Generic/lib/gson-2.13.2.jar)
WARNING: Use --enable-final-field-mutation=ALL-UNNAMED to avoid a warning
WARNING: Mutating final fields will be blocked in a future release unless final field mutation is enabled
SWEPT SCOPE -- memory blocks in BCM_OwnerFlash/cflash.bin:
   CFLASH               00000000 .. 0017ffff
   SHADOW               00200000 .. 00203fff
   DFLASH               00800000 .. 0080ffff
   SRAM                 40000000 .. 40017fff
   PBRIDGE_A            c3f00000 .. c3ffffff
   PBRIDGE_B            ffe00000 .. ffffffff
SCAN SCOPE: all references-to 0x031360 across the whole image.

getReferencesTo(0x031360): 782 refs
  by type: {'UNCONDITIONAL_CALL': 782}

SITE       FLAG         BIT FUNC
0x0232A8   0x40003DCA   2   FUN_0002329e@0002329e
0x023DFE   0x40003D98   1   FUN_00023df4@00023df4
0x024134   0x40003D98   1   FUN_0002412a@0002412a
0x024430   0x40003D98   1   FUN_00024426@00024426
0x02478E   0x40003D98   1   FUN_00024784@00024784
0x024B56   0x40003D98   1   FUN_00024b4c@00024b4c
0x024EB6   0x40003D98   1   FUN_00024eac@00024eac
0x025216   0x40003D98   1   FUN_0002520c@0002520c
0x025584   0x40003D98   1   FUN_0002557a@0002557a
0x025A58   0x40003D98   1   FUN_00025a4e@00025a4e
0x025F1C   0x40003D98   1   FUN_00025f12@00025f12
0x0262C8   0x40003D98   1   FUN_000262be@000262be
0x026678   0x40003D98   1   FUN_0002666e@0002666e
0x026A4A   0x40003D98   1   FUN_00026a40@00026a40
0x026EEA   0x40003D98   1   FUN_00026ee0@00026ee0
0x027340   0x40003D98   1   FUN_00027336@00027336
0x0277DC   0x40003D98   1   FUN_000277d2@000277d2
0x027E7E   0x40003D98   1   FUN_00027e74@00027e74
0x0283F2   0x40003D98   1   FUN_000283e8@000283e8
0x0286DC   0x40003D98   1   FUN_000286d2@000286d2
0x0289A6   0x40003D98   1   FUN_0002899c@0002899c
0x028CA8   0x40003D98   1   FUN_00028c9e@00028c9e
0x028F3C   0x40003D98   1   FUN_00028f32@00028f32
0x02938C   0x40003D98   1   FUN_00029382@00029382
0x029688   0x40003D98   1   FUN_0002967e@0002967e
0x0299AE   0x40003D98   1   FUN_000299a4@000299a4
0x029CBC   0x40003D98   1   FUN_00029cb2@00029cb2
0x02A10A   0x40003D98   1   FUN_0002a100@0002a100
0x02A496   0x40003D98   1   FUN_0002a48c@0002a48c
0x02AD26   0x40003D98   1   FUN_0002ad1c@0002ad1c
