
### HS-CAN frameObj=0x400001A1 (10 signals)
  @140020 byte0 mask00 sig=0x40000679 dlc=00000000 m1=62000000 m2=40000678
  @14B180 byte0 mask00 sig=0x40000D44 dlc=01002004 m1=083F1700 m2=40000678
  @14B19C byte0 mask00 sig=0x40000D4C dlc=01000108 m1=083FE500 m2=4000071E
  @14B260 byte0 mask00 sig=0x40000D74 dlc=01000204 m1=083FE000 m2=400006E1
  @14CBC8 byte0 mask00 sig=0x40000D44 dlc=01002004 m1=083F1700 m2=40000678
  @14CBE4 byte0 mask00 sig=0x40000D4C dlc=01000108 m1=083FE500 m2=4000071E
  @14CCA8 byte0 mask00 sig=0x40000D74 dlc=01000204 m1=083FE000 m2=400006E1
  @14E410 byte0 mask00 sig=0x40000D44 dlc=01002004 m1=083F1700 m2=40000678
  @14E42C byte0 mask00 sig=0x40000D4C dlc=01000108 m1=083FE500 m2=4000071E
  @14E4F0 byte0 mask00 sig=0x40000D74 dlc=01000204 m1=083FE000 m2=400006E1

### HS-CAN frameObj=0x400001A3 (9 signals)
  @14B1B8 byte0 mask00 sig=0x40000D50 dlc=01000210 m1=083F0C00 m2=400006AC
  @14B1F0 byte0 mask00 sig=0x40000D5C dlc=01002040 m1=083F8000 m2=400006B9
  @14B228 byte0 mask00 sig=0x40000D68 dlc=01000801 m1=083FF000 m2=400006A4
  @14CC00 byte0 mask00 sig=0x40000D50 dlc=01000210 m1=083F0C00 m2=400006AC
  @14CC38 byte0 mask00 sig=0x40000D5C dlc=01002040 m1=083F8000 m2=400006B9
  @14CC70 byte0 mask00 sig=0x40000D68 dlc=01000801 m1=083FF000 m2=400006A4
  @14E448 byte0 mask00 sig=0x40000D50 dlc=01000210 m1=083F0C00 m2=400006AC
  @14E480 byte0 mask00 sig=0x40000D5C dlc=01002040 m1=083F8000 m2=400006B9
  @14E4B8 byte0 mask00 sig=0x40000D68 dlc=01000801 m1=083FF000 m2=400006A4

### HS-CAN frameObj=0x400001A4 (9 signals)
  @14B1D4 byte0 mask00 sig=0x40000D58 dlc=01001020 m1=083FFF00 m2=400006FF
  @14B20C byte0 mask00 sig=0x40000D64 dlc=01002080 m1=083FEF00 m2=400006F5
  @14B244 byte0 mask00 sig=0x40000D70 dlc=01008002 m1=083FFF00 m2=40000CBE
  @14CC1C byte0 mask00 sig=0x40000D58 dlc=01001020 m1=083FFF00 m2=400006FF
  @14CC54 byte0 mask00 sig=0x40000D64 dlc=01002080 m1=083FEF00 m2=400006F5
  @14CC8C byte0 mask00 sig=0x40000D70 dlc=01008002 m1=083FFF00 m2=40000CBE
  @14E464 byte0 mask00 sig=0x40000D58 dlc=01001020 m1=083FFF00 m2=400006FF
  @14E49C byte0 mask00 sig=0x40000D64 dlc=01002080 m1=083FEF00 m2=400006F5
  @14E4D4 byte0 mask00 sig=0x40000D70 dlc=01008002 m1=083FFF00 m2=40000CBE

### HS-CAN frameObj=0x400001A5 (6 signals)
  @14B12C byte0 mask00 sig=0x40000D30 dlc=00004000 m1=083D7800 m2=40000CCB
  @14B148 byte0 mask00 sig=0x40000D38 dlc=01000801 m1=083FFF00 m2=40000CD3
  @14CB74 byte0 mask00 sig=0x40000D30 dlc=00004000 m1=083D7800 m2=40000CCB
  @14CB90 byte0 mask00 sig=0x40000D38 dlc=01000801 m1=083FFF00 m2=40000CD3
  @14E3BC byte0 mask00 sig=0x40000D30 dlc=00004000 m1=083D7800 m2=40000CCB
  @14E3D8 byte0 mask00 sig=0x40000D38 dlc=01000801 m1=083FFF00 m2=40000CD3

### HS-CAN frameObj=0x400001A6 (3 signals)
  @14B164 byte0 mask00 sig=0x40000D40 dlc=01001002 m1=083FFF00 m2=400006F9
  @14CBAC byte0 mask00 sig=0x40000D40 dlc=01001002 m1=083FFF00 m2=400006F9
  @14E3F4 byte0 mask00 sig=0x40000D40 dlc=01001002 m1=083FFF00 m2=400006F9

### HS-CAN frameObj=0x400001A7 (3 signals)
  @14B298 byte0 mask00 sig=0x40000D78 dlc=00000000 m1=00000000 m2=4000072D
  @14CCE0 byte0 mask00 sig=0x40000D78 dlc=00000000 m1=00000000 m2=4000072D
  @14E528 byte0 mask00 sig=0x40000D78 dlc=00000000 m1=00000000 m2=4000072D

### HS-CAN frameObj=0x400001C0 (17 signals)
  @14AA24 byte0 mask01 sig=0x40000772 dlc=0800FF00 m1=7F7EF95B m2=FFFF6AAF
  @14AA44 byte1 mask02 sig=0x4000078D dlc=0800FF00 m1=7FFFCFFF m2=FFFFFFFF
  @14AA84 byte3 mask02 sig=0x4000077B dlc=0800FF00 m1=7379FFFF m2=FF7FFFFE
  @14AAA4 byte4 mask08 sig=0x40000751 dlc=0800FF00 m1=19FF777F m2=FF77FFFD
  @14AAC4 byte5 mask80 sig=0x40000748 dlc=0800FF00 m1=2DBFCFFF m2=FF3FFFFF
  @14AAE4 byte6 mask10 sig=0x40000784 dlc=0800FF00 m1=3FBFFFFF m2=FFFF71FD
  @14AB04 byte7 mask20 sig=0x4000079F dlc=0800FF00 m1=94FF3FFF m2=FFFFFFFF
  @14AC04 byte0 mask00 sig=0x400007A8 dlc=00000000 m1=FFFFFFFF m2=FFFFFFFF
  @14C46C byte0 mask01 sig=0x40000772 dlc=0800FF00 m1=7F7EF95B m2=FFFF6AAF
  @14C48C byte1 mask02 sig=0x4000078D dlc=0800FF00 m1=7FFFCFFF m2=FFFFFFFF
  @14C4CC byte3 mask02 sig=0x4000077B dlc=0800FF00 m1=7379FFFF m2=FF7FFFFE
  @14C4EC byte4 mask08 sig=0x40000751 dlc=0800FF00 m1=19FF777F m2=FF77FFFD
  @14C50C byte5 mask80 sig=0x40000748 dlc=0800FF00 m1=2DBFCFFF m2=FF3FFFFF
  @14C52C byte6 mask10 sig=0x40000784 dlc=0800FF00 m1=3FBFFFFF m2=FFFF71FD
  @14C54C byte7 mask20 sig=0x4000079F dlc=0800FF00 m1=94FF3FFF m2=FFFFFFFF
  @14C64C byte0 mask00 sig=0x400007A8 dlc=00000000 m1=FFFFFFFF m2=FFFFFFFF
  @14DEB4 byte0 mask00 sig=0x400007A8 dlc=00000000 m1=FFFFFFFF m2=FFFFFFFF

### HS-CAN frameObj=0x400001C1 (2 signals)
  @14AA64 byte2 mask04 sig=0x40000796 dlc=0800FF00 m1=2FFFFF3F m2=FFD87FFF
  @14C4AC byte2 mask04 sig=0x40000796 dlc=0800FF00 m1=2FFFFF3F m2=FFD87FFF

### MS-CAN frameObj=0x4000051C (16 signals)
  @151740 byte0 mask00 sig=0x40000AE0 dlc=00000000 m1=FFFFFFFF m2=FFFFFFFF
  @151A80 byte0 mask01 sig=0x40000A0F dlc=0800FF00 m1=EC2FFFFF m2=7FFFFFFF
  @151AA0 byte1 mask02 sig=0x40000A75 dlc=0800FF00 m1=F010FFFF m2=FFFF7FFF
  @151AC0 byte2 mask04 sig=0x40000A6C dlc=0800FF00 m1=B7BEFFFF m2=FFFFFFFF
  @151AE0 byte3 mask08 sig=0x400009AF dlc=0800FF00 m1=FF63FB7B m2=EFDFB7AB
  @151B00 byte4 mask10 sig=0x400009FD dlc=0800FF00 m1=88FFFFFF m2=2FFFFFFF
  @151B40 byte6 mask02 sig=0x40000A90 dlc=0800F700 m1=2A3FFFFF m2=7FFFFFFF
  @151FE0 byte0 mask00 sig=0x40000A99 dlc=00000000 m1=FFFFFFFF m2=FFFFFFFF
